# Spatial-averaged data for fix zcnt_hi and group z_hi
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
  3 0.125 979.1 322.638
  4 0.175 976.9 319.36
  5 0.225 978.86 320.145
  6 0.275 977.14 325.029
  7 0.325 978.58 313.755
  8 0.375 977.42 313.559
  9 0.425 979.12 318.179
  10 0.475 976.88 319.174
  11 0.525 979.89 318.312
  12 0.575 976.11 315.846
  13 0.625 979.37 314.372
  14 0.675 976.63 314.095
  15 0.725 978.61 322.134
  16 0.775 977.39 319.163
  17 0.825 977.86 318.828
  18 0.875 978.14 322.023
  19 0.925 977.38 321.335
  20 0.975 966.62 321.174
21240000 20
  1 0.025 966.76 319.592
  2 0.075 977.24 321.797
  3 0.125 978.43 321.547
  4 0.175 977.57 325.682
  5 0.225 977.64 318.138
  6 0.275 978.36 318.568
  7 0.325 976.54 311.59
  8 0.375 979.46 313.963
  9 0.425 976.42 322.358
  10 0.475 979.58 322.712
  11 0.525 977.9 325.179
  12 0.575 978.1 316.251
  13 0.625 978.01 320.142
  14 0.675 977.99 317.187
  15 0.725 977.73 314.282
  16 0.775 978.27 320.684
  17 0.825 977.65 320.229
  18 0.875 978.35 320.425
  19 0.925 977.19 320.003
  20 0.975 966.81 319.771
21250000 20
  1 0.025 966.87 318.441
  2 0.075 977.13 324.334
  3 0.125 979.16 319.45
  4 0.175 976.84 315.941
  5 0.225 978.95 317.968
  6 0.275 977.05 319.872
  7 0.325 978.16 315.377
  8 0.375 977.84 317.819
  9 0.425 978.63 316.736
  10 0.475 977.37 323.891
  11 0.525 979.79 322.466
  12 0.575 976.21 323.963
