# Spatial-averaged data for fix xcnt_lo and group x_lo
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
  14 0.675 976.42 283.82
  15 0.725 980.35 288.375
  16 0.775 975.65 285.503
  17 0.825 979.62 282.927
  18 0.875 976.38 274.424
  19 0.925 977.92 280.791
  20 0.975 966.08 285.168
21120000 20
  1 0.025 966.39 277.836
  2 0.075 977.61 285.132
  3 0.125 976.42 282.041
  4 0.175 979.58 277.495
  5 0.225 976.52 273.819
  6 0.275 979.48 276.833
  7 0.325 976.87 278.317
  8 0.375 979.13 280.838
  9 0.425 976.41 281.535
  10 0.475 979.59 285.526
  11 0.525 976.13 283.157
  12 0.575 979.87 284.156
  13 0.625 975.72 281.511
  14 0.675 980.28 281.394
  15 0.725 975.47 284.958
  16 0.775 980.53 291.573
  17 0.825 975.47 282.853
  18 0.875 980.53 281.168
  19 0.925 976.74 283.312
  20 0.975 967.26 281.547
21130000 20
  1 0.025 967.41 280.994
  2 0.075 976.59 276.864
  3 0.125 980.25 277.595
  4 0.175 975.75 279.63
  5 0.225 980.34 283.012
  6 0.275 975.66 279.816
  7 0.325 980.58 278.513
  8 0.375 975.42 278.551
  9 0.425 980.24 281.636
  10 0.475 975.76 282.419
  11 0.525 979.95 285.418
  12 0.575 976.05 280.167
  13 0.625 979.32 277.26
  14 0.675 976.68 284.553
  15 0.725 979.6 283.793
  16 0.775 976.4 291.755
  17 0.825 979.24 284.594
  18 0.875 976.76 285.221
  19 0.925 977.94 283.852
  20 0.975 966.06 278.648
21140000 20
  1 0.025 966.13 279.571
  2 0.075 977.87 281.899
  3 0.125 977.04 281.334
  4 0.175 978.96 279.104
  5 0.225 976.54 277.093
  6 0.275 979.46 282.621
  7 0.325 976.81 283.821
  8 0.375 979.19 280.127
  9 0.425 976.35 279.05
  10 0.475 979.65 282.85
  11 0.525 976.54 281.485
  12 0.575 979.46 276.573
  13 0.625 976.3 283.293
  14 0.675 979.7 285.49
  15 0.725 975.52 283.153
  16 0.775 980.48 282.682
  17 0.825 975.78 287.771
  18 0.875 980.22 283.985
  19 0.925 976.26 283.262
  20 0.975 967.74 277.412
21150000 20
  1 0.025 967.48 276.973
  2 0.075 976.52 280.283
  3 0.125 980.52 280.713
  4 0.175 975.48 279.998
  5 0.225 980.48 284.903
  6 0.275 975.52 281.112
  7 0.325 980.13 284.035
  8 0.375 975.87 283.566
  9 0.425 979.73 279.269
